¿Preferirías que los alienígenas que hagan el primer contacto sean robóticos u orgánicos?,Would you rather the aliens that make first contact be robotic or organic?
¿Preferirías ser una persona normal en el presente o un rey de un gran país hace 2.500 años?,Would you rather be an average person in the present or a king of a large country 2500 years ago?
¿Preferirías ser capaz de esquivar cualquier cosa sin importar la velocidad a la que se mueva o poder hacer tres preguntas cualesquiera y que te respondan con precisión?,Would you rather be able to dodge anything no matter how fast it’s moving or be able to ask any three questions and have them answered accurately?
¿Preferirías estar obligado a bailar cada vez que escuches música o estar obligado a cantar cualquier canción que escuches?,Would you rather be forced to dance every time you heard music or be forced to sing along to any song you heard?
"¿Preferirías que toda tu ropa te quedara perfecta o tener la almohada, las mantas y las sábanas más cómodas que existen?","Would you rather have all your clothes fit perfectly or have the most comfortable pillow, blankets, and sheets in existence?"
¿Preferirías que el 5% de la población tuviera telepatía o que el 5% de la población tuviera telequinesis? Usted no forma parte del 5% que tiene telepatía o telequinesis.,"Would you rather 5% of the population have telepathy, or 5% of the population have telekinesis? You are not part of the 5% that has telepathy or telekinesis."
¿Preferirías ser un personaje sin importancia en la última película que viste o un personaje sin importancia en el último libro que leíste?,Would you rather be an unimportant character in the last movie you saw or an unimportant character in the last book you read?
¿Preferirías mudarte a una nueva ciudad o pueblo cada semana o no poder salir nunca de la ciudad o pueblo en el que naciste?,Would you rather move to a new city or town every week or never be able to leave the city or town you were born in?
¿Preferirías estar completamente loco y saber que lo estás o estar completamente loco y creer que estás cuerdo?,Would you rather be completely insane and know that you are insane or completely insane and believe you are sane?
¿Preferirías viajar por el mundo durante un año con un presupuesto mínimo o quedarte en un solo país durante un año pero vivir con lujo?,Would you rather travel the world for a year on a shoestring budget or stay in only one country for a year but live in luxury?
¿Preferirías ser elegido senador de repente o convertirte en director general de una gran empresa? (No tendrás más conocimientos sobre cómo hacer cualquiera de los dos trabajos que los que tienes ahora).,Would you rather suddenly be elected a senator or suddenly become a CEO of a major company? (You won’t have any more knowledge about how to do either job than you do right now.)
¿Preferirías vivir en una realidad virtual en la que eres todopoderoso o vivir en el mundo real y poder ir a cualquier sitio pero no poder interactuar con nadie ni con nada?,Would you rather live in virtual reality where you are all powerful or live in the real world and be able to go anywhere but not be able to interact with anyone or anything?
¿Preferirías que cualquier cosa que pienses aparezca por encima de tu cabeza para que todo el mundo la vea o que absolutamente todo lo que hagas se transmita en directo para que cualquiera lo vea?,Would you rather have whatever you are thinking to appear above your head for everyone to see or have absolutely everything you do live streamed for anyone to see?
¿Preferirías poder ver sólo las pocas películas con una puntuación de Rotten Tomatoes del 95-100% o sólo poder ver la mayoría de las películas con una puntuación de Rotten Tomatoes del 94% o inferior?,Would you rather be only able to watch the few movies with a Rotten Tomatoes score of 95-100% or only be able to watch the majority of movies with a Rotten Tomatoes score of 94% and lower?
¿Preferirías despertarte como una nueva persona al azar cada año y tener un control total sobre ella durante todo el año o pasar un día dentro de un extraño una vez a la semana sin tener ningún control sobre él?,Would you rather wake up as a new random person every year and have full control of them for the whole year or once a week spend a day inside a stranger without having any control of them?
¿Preferirías saber cuán por encima o por debajo de la media estás en todo o saber cuán por encima o por debajo de la media está la gente en una habilidad/talento con sólo mirarlos?,Would you rather know how above or below average you are at everything or know how above or below average people are at one skill/talent just by looking at them?
¿Preferirías vivir hasta los 200 años pero parecer que tienes 200 años todo el tiempo aunque estés sano o parecer que tienes 25 años todo el tiempo hasta que mueras a los 65 años?,Would you rather live until you are 200 but look like you are 200 the whole time even though you are healthy or look like you are 25 all the way until you die at age 65?
¿Preferirías ser un centauro invertido o una sirena/hombre invertido?,Would you rather be a reverse centaur or a reverse mermaid/merman?
¿Preferirías que tu único medio de transporte fuera un burro o una jirafa?,Would you rather your only mode of transportation be a donkey or a giraffe?
¿Preferirías sólo poder usar un tenedor (sin cuchara) o sólo poder usar una cuchara (sin tenedor)?,Would you rather only be to use a fork (no spoon) or only be able to use a spoon (no fork)?
¿Preferirías que todas las camisas que te pongas te piquen o que sólo puedas usar papel higiénico de una capa?,Would you rather every shirt you ever wear be kind of itchy or only be able to use 1 ply toilet paper?
¿Preferirías tener pelo de espagueti comestible que vuelve a crecer cada noche o sudar (no dulce) jarabe de arce?,Would you rather have edible spaghetti hair that regrows every night or sweat (not sweet) maple syrup?
¿Preferirías tener que leer en voz alta cada palabra que lees o cantar todo lo que dices en voz alta?,Would you rather have to read aloud every word you read or sing everything you say out loud?
¿Preferirías llevar un vestido de novia/esmoquin todos los días o llevar un traje de baño todos los días?,Would you rather wear a wedding dress/tuxedo every single day or wear a bathing suit every single day?
¿Preferirías no poder mover tu cuerpo cada vez que llueve o no poder dejar de moverte mientras sale el sol?,Would you rather be unable to move your body every time it rains or not be able to stop moving while the sun is out?
¿Preferirías que todos los perros intentaran atacarte cuando te vieran o que todos los pájaros intentaran atacarte cuando te vieran?,Would you rather have all dogs try to attack you when they see you or all birds try to attack you when they see you?
¿Preferirías estar obligado a chocar los cinco con todo el que te encuentres o estar obligado a dar collejas a cualquiera que lleve una camiseta verde?,Would you rather be compelled to high five everyone you meet or be compelled to give wedgies to anyone in a green shirt?
¿Preferirías tener una piel que cambie de color en función de tus emociones o que te aparezcan tatuajes por todo el cuerpo que representen lo que hiciste ayer?,Would you rather have skin that changes color based on your emotions or tattoos appear all over your body depicting what you did yesterday?
"¿Preferirías viajar aleatoriamente en el tiempo +/- 20 años cada vez que te tiras un pedo o teletransportarte a un lugar diferente de la tierra (en tierra, no en el agua) cada vez que estornudas?","Would you rather randomly time travel +/- 20 years every time you fart or teleport to a different place on earth (on land, not water) every time you sneeze?"
¿Preferirías que hubiera una guerra perpetua de globos de agua en tu ciudad/pueblo o una lucha perpetua por la comida?,Would you rather there be a perpetual water balloon war going on in your city/town or a perpetual food fight?
¿Preferirías tener que tirarte un pedo fuerte cada vez que tengas una conversación seria o tener que eructar después de cada beso?,Would you rather have to fart loudly every time you have a serious conversation or have to burp after every kiss?
¿Preferirías ser el doble de fuerte cuando tus dos dedos se claven en las orejas o arrastrarte el doble de rápido de lo que puedes correr?,Would you rather become twice as strong when both of your fingers are stuck in your ears or crawl twice as fast as you can run?
¿Preferirías que todo lo que dibujes se convierta en realidad pero ser permanentemente terrible dibujando o poder volar pero sólo tan rápido como puedas caminar?,Would you rather have everything you draw become real but be permanently terrible at drawing or be able to fly but only as fast as you can walk?
¿Preferirías que aparecieran instantáneamente treinta mariposas de la nada cada vez que estornudas o que apareciera una ardilla muy enfadada de la nada cada vez que toses?,Would you rather thirty butterflies instantly appear from nowhere every time you sneeze or one very angry squirrel appear from nowhere every time you cough?
¿Preferirías vomitar incontroladamente durante un minuto cada vez que escuches la canción del feliz cumpleaños o tener un dolor de cabeza que te dure el resto del día cada vez que veas un pájaro (incluso en fotos o en un vídeo)?,Would you rather vomit uncontrollably for one minute every time you hear the happy birthday song or get a headache that lasts for the rest of the day every time you see a bird (including in pictures or a video)?
¿Preferirías comer un sándwich hecho con 4 ingredientes de tu nevera elegidos al azar o comer un sándwich hecho por un grupo de tus amigos con 4 ingredientes de tu nevera?,Would you rather eat a sandwich made from 4 ingredients in your fridge chosen at random or eat a sandwich made by a group of your friends from 4 ingredients in your fridge?
¿Preferirías que todo el mundo estuviera obligado a llevar monos plateados idénticos o que cada vez que dos personas se encuentren y lleven una prenda idéntica deban luchar hasta la muerte?,Would you rather everyone be required to wear identical silver jumpsuits or any time two people meet and are wearing an identical article of clothing they must fight to the death?
¿Preferirías ser un director famoso o un actor famoso?,Would you rather be a famous director or a famous actor?
¿Preferirías ser un médico en activo o un investigador médico?,Would you rather be a practicing doctor or a medical researcher?
¿Preferirías vivir en una cueva o en una casa en un árbol?,Would you rather live in a cave or live in a tree house?
¿Preferirías poder controlar el fuego o el agua?,Would you rather be able to control fire or water?
¿Preferirías vivir sin Internet o vivir sin aire acondicionado ni calefacción?,Would you rather live without the internet or live without AC and heating?
¿Preferirías poder teletransportarte a cualquier lugar o poder leer la mente?,Would you rather be able to teleport anywhere or be able to read minds?
¿Preferirías no poder utilizar los motores de búsqueda o no poder utilizar las redes sociales?,Would you rather be unable to use search engines or unable to use social media?
¿Preferirías ser bello/guapo pero estúpido o inteligente pero feo?,Would you rather be beautiful/handsome but stupid or intelligent but ugly?
¿Preferirías ser calvo pero estar en forma o tener sobrepeso con una cabeza llena de pelo?,Would you rather be balding but fit or overweight with a full head of hair?
¿Preferirías no poder comer nunca carne o no poder comer nunca verduras?,Would you rather never be able to eat meat or never be able to eat vegetables?
¿Preferirías tener una casa completamente automatizada o un coche que se conduce solo?,Would you rather have a completely automated home or a self-driving car?
¿Preferirías ser un pintor increíble o un matemático brillante?,Would you rather be an amazing painter or a brilliant mathematician?
¿Preferirías ser famoso pero ridiculizado o ser una persona normal?,Would you rather be famous but ridiculed or be just a normal person?
¿Preferirías tener una alfombra voladora o un coche que pueda conducir bajo el agua?,Would you rather have a flying carpet or a car that can drive underwater?
¿Preferirías no volver a quedarte atascado en el tráfico o no volver a resfriarte?,Would you rather never be stuck in traffic again or never get another cold?
¿Preferirías tener una caja de Legos sin fondo o un depósito de gasolina sin fondo?,Would you rather have a bottomless box of Legos or a bottomless gas tank?
¿Preferirías verte obligado a comer sólo comida picante o sólo comida increíblemente insípida?,Would you rather be forced to eat only spicy food or only incredibly bland food?
¿Preferirías ser campeón de bolos o de curling?,Would you rather be a bowling champion or a curling champion?
¿Preferirías ser fantástico montando a caballo o increíble conduciendo motos de cross?,Would you rather be fantastic at riding horses or amazing at driving dirt bikes?
¿Preferirías no poder llevar nunca pantalones o no poder llevar nunca pantalones cortos?,Would you rather never be able to wear pants or never be able to wear shorts?
¿Preferirías vivir los próximos 10 años de tu vida en China o en Rusia?,Would you rather live the next 10 years of your life in China or Russia?
¿Preferirías vivir en la playa o en una cabaña en el bosque?,Would you rather live on the beach or in a cabin in the woods?
¿Preferirías perderte en una parte mala de la ciudad o en el bosque?,Would you rather be lost in a bad part of town or lost in the forest?
¿Preferirías tener una horrible memoria a corto plazo o una horrible memoria a largo plazo?,Would you rather have a horrible short-term memory or a horrible long-term memory?
¿Preferirías ser completamente invisible durante un día o poder volar durante un día?,Would you rather be completely invisible for one day or be able to fly for one day?
¿Preferirías no poder usar nunca una pantalla táctil o no poder usar nunca un teclado y un ratón?,Would you rather never be able to use a touchscreen or never be able to use a keyboard and mouse?
¿Preferirías tener sushi ilimitado de por vida o tacos ilimitados de por vida? (ambos son increíblemente deliciosos y pueden ser del tipo de sushi/taco que quieras),Would you rather have unlimited sushi for life or unlimited tacos for life? (both are amazingly delicious and can be any type of sushi/taco you want)
¿Preferirías tener un billete de avión internacional de ida y vuelta gratis cada año o poder volar gratis en cualquier momento a nivel nacional?,Would you rather get one free round trip international plane ticket every year or be able to fly domestic anytime for free?
¿Preferirías poder estar libre de correo basura o libre de spam de correo electrónico para el resto de tu vida?,Would you rather be able to be free from junk mail or free from email spam for the rest of your life?
¿Preferirías dejar de bañarte durante un mes o dejar de usar Internet durante un mes?,Would you rather give up bathing for a month or give up the internet for a month?
¿Preferirías dejar de ver televisión/películas durante un año o dejar de jugar durante un año?,Would you rather give up watching TV/movies for a year or give up playing games for a year?
¿Preferirías no poder volver a beber refrescos como la coca-cola o sólo poder beber refrescos y nada más?,Would you rather never be able to drink sodas like coke again or only be able to drink sodas and nothing else?
¿Preferirías tener una velocidad de escritura/texto increíblemente rápida o ser capaz de leer ridículamente rápido?,Would you rather have amazingly fast typing/texting speed or be able to read ridiculously fast?
¿Preferirías vivir bajo un cielo sin estrellas por la noche o vivir bajo un cielo sin nubes durante el día?,Would you rather live under a sky with no stars at night or live under a sky with no clouds during the day?
¿Preferirías tener Wi-Fi gratis dondequiera que vayas o poder beber café gratis ilimitado en cualquier cafetería?,Would you rather have free Wi-Fi wherever you go or be able to drink unlimited free coffee at any coffee shop?
"¿Preferirías tomarte selfies increíbles, pero que el resto de tus fotos sean horribles o tomar fotografías impresionantes de cualquier cosa menos de ti mismo?","Would you rather take amazing selfies, but all of your other pictures are horrible or take breathtaking photographs of anything but yourself?"
¿Preferirías no volver a cortarte con un papel o no volver a tener algo atascado en los dientes?,Would you rather never get a paper cut again or never get something stuck in your teeth again?
¿Preferirías no volver a tener una caída embarazosa en público o no volver a sentir la necesidad de expulsar gases en público?,Would you rather never have another embarrassing fall in public or never feel the need to pass gas in public again?
¿Preferirías perder a tu mejor amigo o a todos tus amigos excepto a tu mejor amigo?,Would you rather lose your best friend or all of your friends except for your best friend?
¿Preferirías que nunca dejara de nevar (la nieve nunca se acumula) o que nunca dejara de llover (la lluvia nunca provoca inundaciones)?,Would you rather it never stops snowing (the snow never piles up) or never stops raining (the rain never causes floods)?
¿Preferirías no poder salir nunca de tu país o no poder volar nunca en avión?,Would you rather never be able to leave your own country or never be able to fly in an airplane?
¿Preferirías que nunca más se te atascara un inodoro o que nunca más se te fuera la luz?,Would you rather never have a toilet clog on you again or never have the power go out again?
¿Preferirías que los auriculares nunca se pusieran bien en tus oídos o que toda la música estuviera demasiado baja o demasiado alta?,Would you rather earbuds and headphones never sit right on / in your ears or have all music either slightly too quiet or slightly too loud?
¿Preferirías ser el mejor del mundo trepando a los árboles o el mejor del mundo saltando a la comba?,Would you rather be the best in the world at climbing trees or the best in the world at jumping rope?
¿Preferirías no quedarte nunca sin batería para cualquier teléfono y tableta que tengas o tener siempre Wi-Fi gratis allá donde vayas?,Would you rather never run out of battery power for whatever phone and tablet you own or always have free Wi-Fi wherever you go?
¿Preferirías no tener que limpiar nunca más un baño o no tener que fregar nunca más los platos?,Would you rather never have to clean a bathroom again or never have to do dishes again?
¿Preferirías comerte un huevo con un pollo a medio hacer dentro o comerte diez saltamontes cocidos?,Would you rather eat an egg with a half-formed chicken inside or eat ten cooked grasshoppers?
¿Preferirías vestir sólo un color cada día o tener que vestir siete colores cada día?,Would you rather only wear one color each day or have to wear seven colors each day?
¿Preferirías comer arroz en cada comida y no poder comer nunca pan o comer pan en cada comida y no poder comer nunca arroz?,Would you rather eat rice with every meal and never be able to eat bread or eat bread with every meal and never be able to eat rice?
¿Preferirías viajar por el mundo durante un año con todos los gastos pagados o tener 40.000 dólares para gastar en lo que quieras?,"Would you rather travel the world for a year all expenses paid or have $40,000 to spend on whatever you want?"
¿Preferirías poder ir gratis a cualquier parque temático del mundo durante el resto de tu vida o comer gratis en cualquier restaurante de autoservicio durante el resto de tu vida?,Would you rather be able to go to any theme park in the world for free for the rest of your life or eat for free at any drive-through restaurant for the rest of your life?
¿Preferirías ser el mejor absoluto en algo que nadie toma en serio o estar muy por encima de la media pero ni de lejos ser el mejor en algo muy respetado?,Would you rather be the absolute best at something that no one takes seriously or be well above average but not anywhere near the best at something well respected?
"¿Preferirías que fuera imposible que te despertaran durante 11 horas seguidas todos los días, pero que te levantaras sintiéndote increíble, o que te despertaran normalmente pero que nunca te sintieras totalmente descansado?","Would you rather it be impossible for you to be woken up for 11 straight hours every day, but you wake up feeling amazing, or you can be woken up normally but never feel totally rested?"
"¿Preferirías tener todo en tu casa perfectamente organizado por un profesional o que una empresa de eventos profesional organice la mejor fiesta a la que hayas asistido, en tu honor?","Would you rather have everything in your house perfectly organized by a professional or have a professional event company throw the best party you’ve ever been to, in your honor?"
"¿Preferirías tener cantidades ilimitadas de cualquier material que quieras para construir una casa, pero tener que construirla tú mismo o que un afamado arquitecto te diseñe y construya una modesta casa?","Would you rather have unlimited amounts of any material you want to build a house, but you have to build the house all by yourself or have a famed architect design and build you a modest house?"
"¿Preferirías no volver a sudar pero no ser más propenso a sufrir un golpe de calor o no volver a sentir frío pero que el frío te siga afectando físicamente (es decir, que puedas morir congelado)?","Would you rather never sweat again but not be more prone to heat stroke or never feel cold again but cold still physically affects you (i.e., you can freeze to death)?"
¿Preferirías tener un gusto súper sensible o un oído súper sensible?,Would you rather super sensitive taste or super sensitive hearing?
¿Preferirías tener los ojos constantemente secos o un constante goteo nasal?,Would you rather have constantly dry eyes or a constant runny nose?
¿Preferirías no volver a perder el teléfono o no volver a perder las llaves?,Would you rather never lose your phone again or never lose your keys again?
¿Preferirías tener un vello corporal descontrolado o un olor corporal fuerte y penetrante?,"Would you rather have out of control body hair or a strong, pungent body odor?"
¿Preferirías no poder tener hijos o sólo poder concebir quintillizos?,Would you rather be unable to have kids or only be able to conceive quintuplets?
¿Preferirías limpiar los retretes de las paradas o trabajar en un matadero para ganarte la vida?,Would you rather clean rest stop toilets or work in a slaughterhouse for a living?
¿Preferirías perder todo tu dinero y objetos de valor o todas las fotos que has hecho?,Would you rather lose all your money and valuables or all the pictures you have ever taken?
¿Preferirías encontrar a tu verdadero amor o una maleta con cinco millones de dólares dentro?,Would you rather find your true love or a suitcase with five million dollars inside?
¿Preferirías no poder ver ningún color o tener un leve pero constante tinnitus (zumbido en los oídos)?,Would you rather not be able to see any colors or have mild but constant tinnitus (ringing in the ears)?
¿Preferirías tener los labios agrietados que nunca se curan o una caspa terrible que no se puede tratar?,Would you rather have chapped lips that never heal or terrible dandruff that can’t be treated?
¿Preferirías vivir sin agua caliente para las duchas/baños o vivir sin lavadora?,Would you rather live without hot water for showers/baths or live without a washing machine?
¿Preferirías estar solo el resto de tu vida o estar siempre rodeado de gente molesta?,Would you rather be alone for the rest of your life or always be surrounded by annoying people?
¿Preferirías estar encerrado en una habitación constantemente oscura durante una semana o en una habitación constantemente iluminada durante una semana?,Would you rather be locked in a room that is constantly dark for a week or a room that is constantly bright for a week?
¿Preferirías ser responsable por accidente de la muerte de un niño o ser responsable por accidente de la muerte de tres adultos?,Would you rather accidentally be responsible for the death of a child or accidentally be responsible for the deaths of three adults?
¿Preferirías saber cuándo vas a morir o cómo vas a morir? (No puedes cambiar el momento ni el método de tu muerte).,Would you rather know when you are going to die or how you are going to die? (You can’t change the time or method of your death.)
¿Preferirías que todo lo que comas esté demasiado salado o que no esté lo suficientemente salado por mucha sal que añadas?,Would you rather have everything you eat be too salty or not salty enough no matter how much salt you add?
¿Preferirías no tener que trabajar nunca más o no tener que dormir nunca más (no te sentirás cansado ni sufrirás efectos negativos en tu salud)?,Would you rather never have to work again or never have to sleep again (you won’t feel tired or suffer negative health effects)?
¿Preferirías no volver a utilizar las redes sociales o las aplicaciones o no volver a ver una película o un programa de televisión?,Would you rather never use social media sites/apps again or never watch another movie or TV show?
¿Preferirías dominar todos los idiomas y no poder viajar nunca o poder viajar a cualquier lugar durante un año pero no poder aprender nunca una palabra de un idioma diferente?,Would you rather be fluent in all languages and never be able to travel or be able to travel anywhere for a year but never be able to learn a word of a different language?
¿Preferirías que te metieran en una prisión federal de máxima seguridad con los delincuentes más duros durante un año o que te metieran en una prisión relativamente relajada en la que están los tipos de Wall Street durante diez años?,Would you rather be put in a maximum-security federal prison with the hardest of the hardened criminals for one year or be put in a relatively relaxed prison where wall street types are held for ten years?
"¿Preferirías que todo lo que hay en tu teléfono ahora mismo (historial de navegación, fotos, etc.) se hiciera público para cualquiera que busque tu nombre o no volver a usar un teléfono móvil?","Would you rather have everything on your phone right now (browsing history, photos, etc.) made public to anyone who searches your name or never use a cell phone again?"
¿Preferirías ser un artista increíble pero no poder ver nada del arte que has creado o ser un músico increíble pero no poder escuchar nada de la música que creas?,Would you rather be an amazing artist but not be able to see any of the art you created or be an amazing musician but not be able to hear any of the music you create?
¿Preferirías que todo el mundo se riera de tus chistes pero que no encontraras divertidos los de los demás o que nadie se riera de tus chistes pero que tú siguieras encontrando divertidos los de los demás?,Would you rather have everyone laugh at your jokes but not find anyone else’s jokes funny or have no one laugh at your jokes but you still find other people’s jokes funny?
¿Preferirías despertarte en medio de un desierto desconocido o despertarte en un bote de remos en una masa de agua desconocida?,Would you rather wake up in the middle of an unknown desert or wake up in a rowboat on an unknown body of water?
¿Preferirías tener siempre un gran cuerpo durante toda tu vida pero tener una inteligencia ligeramente inferior a la media o tener un cuerpo mediocre durante toda tu vida pero tener una inteligencia ligeramente superior a la media?,Would you rather always have a great body for your entire life but have slightly below average intelligence or have a mediocre body for your entire life but be slightly above average in intelligence?
¿Preferirías tener una deuda de 100.000 dólares o no poder ganar nunca más de 3.500 dólares al mes?,"Would you rather be in debt for $100,000 or never be able to make more than $3,500 a month?"
¿Preferirías que la policía te persiguiera por un asesinato que no cometiste o que te persiguiera un payaso psicópata?,Would you rather have the police hunting you for a murder you didn’t commit or a psychopathic clown hunting you?
¿Preferirías estar constantemente cansado por mucho que duermas o constantemente hambriento por mucho que comas?,Would you rather be constantly tired no matter how much you sleep or constantly hungry no matter how much you eat?
¿Preferirías vivir una vida cómoda y pacífica en el bosque en una pequeña cabaña sin mucha interacción humana o una vida llena de conflictos y entretenimiento en una mansión en una ciudad?,Would you rather live a comfortable and peaceful life in the woods in a small cabin without much human interaction or a life full of conflict and entertainment in a mansion in a city?
"¿Preferirías pasearte por el trabajo o la escuela durante todo el día sin darte cuenta de que hay una gigantesca mancha marrón en la parte trasera de tus pantalones o darte cuenta de que la fecha límite para ese importante trabajo/proyecto era ayer, y no estás ni cerca de terminarlo?","Would you rather walk around work or school for the whole day without realizing there is a giant brown stain on the back of your pants or realize the deadline for that important paper/project was yesterday, and you are nowhere near done?"
¿Preferirías tener tanto miedo a las alturas que no puedes subir al segundo piso de un edificio o tener tanto miedo al sol que sólo puedes salir de casa los días de lluvia?,Would you rather be so afraid of heights that you can’t go to the second floor of a building or be so afraid of the sun that you can only leave the house on rainy days?
¿Preferirías emborracharte con un solo sorbo de alcohol y emborracharte ridículamente con una sola bebida alcohólica o no emborracharte nunca por mucho alcohol que hayas bebido?,Would you rather get tipsy from just one sip of alcohol and ridiculously drunk from just one alcoholic drink or never get drunk no matter how much alcohol you drank?
¿Preferirías ser contratado para un trabajo bien pagado que mentiste para conseguir y no tienes ni idea de cómo hacerlo o estar a punto de dar la presentación más importante de tu vida pero no recordar nada del material que preparaste?,Would you rather be hired for a well-paying job that you lied to get and have no idea how to do or be about to give the most important presentation of your life but you can’t remember any of the material you prepared?
¿Preferirías ser temido por todos o amado por todos?,Would you rather be feared by all or loved by all?
¿Preferirías vender todas tus posesiones o vender uno de tus órganos?,Would you rather sell all of your possessions or sell one of your organs?
¿Preferirías ser infame en los libros de historia o ser olvidado después de tu muerte?,Would you rather be infamous in history books or be forgotten after your death?
¿Preferirías reencarnarte en una mosca o dejar de existir tras tu muerte?,Would you rather be reincarnated as a fly or just cease to exist after you die?
¿Preferirías no enfadarte nunca o no tener nunca envidia?,Would you rather never get angry or never be envious?
¿Preferirías tener un gobierno terriblemente corrupto o no tener ningún gobierno?,Would you rather have a horribly corrupt government or no government?
¿Preferirías que tus padres te tuvieran en alta estima o tus amigos?,Would you rather be held in high regard by your parents or your friends?
¿Preferirías ser pobre pero ayudar a la gente o hacerte increíblemente rico haciendo daño a la gente?,Would you rather be poor but help people or become incredibly rich by hurting people?
¿Preferirías que los humanos volvieran a ir a la luna o que fueran a Marte?,Would you rather humans go to the moon again or go to mars?
¿Preferirías conocer la incómoda verdad del mundo o creer una reconfortante mentira?,Would you rather know the uncomfortable truth of the world or believe a comforting lie?
¿Preferirías morir dentro de 20 años sin remordimientos o morir dentro de 50 años con muchos remordimientos?,Would you rather die in 20 years with no regrets or die in 50 years with many regrets?
¿Preferirías ser transportado permanentemente 500 años al futuro o 500 años al pasado?,Would you rather be transported permanently 500 years into the future or 500 years into the past?
¿Preferirías donar tu cuerpo a la ciencia o donar tus órganos a personas que los necesitan?,Would you rather donate your body to science or donate your organs to people who need them?
¿Preferirías ser famoso cuando estás vivo y olvidado cuando mueres o desconocido cuando estás vivo pero famoso después de tu muerte?,Would you rather be famous when you are alive and forgotten when you die or unknown when you are alive but famous after you die?
¿Preferirías ir a la cárcel durante 4 años por algo que no has hecho o salir impune de algo horrible que has hecho pero vivir siempre con el miedo de que te pillen?,Would you rather go to jail for 4 years for something you didn’t do or get away with something horrible you did but always live in fear of being caught?
¿Preferirías vivir en la naturaleza lejos de la civilización sin contacto humano o vivir en las calles de una ciudad como un indigente?,Would you rather live in the wilderness far from civilization with no human contact or live on the streets of a city as a homeless person?
¿Preferirías vivir toda tu vida en una realidad virtual en la que se cumplen todos tus deseos o en el mundo real normal?,Would you rather live your entire life in a virtual reality where all your wishes are granted or just in the normal real world?
"¿Preferirías tener un trabajo horrible, pero poder jubilarte cómodamente en 10 años o tener el trabajo de tus sueños, pero tener que trabajar hasta el día de tu muerte?","Would you rather have a horrible job, but be able to retire comfortably in 10 years or have your dream job, but have to work until the day you die?"
¿Preferirías perder todos tus recuerdos desde el nacimiento hasta ahora o perder tu capacidad de crear nuevos recuerdos a largo plazo?,Would you rather lose all of your memories from birth to now or lose your ability to make new long-term memories?
¿Preferirías poder ver siempre 5 minutos en el futuro o poder ver siempre 100 años en el futuro?,Would you rather always be able to see 5 minutes into the future or always be able to see 100 years into the future?
¿Preferirías verte obligado a matar a un inocente o a cinco personas que hayan cometido delitos menores?,Would you rather be forced to kill one innocent person or five people who committed minor crimes?
