questions_spa,questions_eng
¿Quiénes son algunos de tus atletas favoritos(as)?,Who are some of your favourite athletes?
¿Qué deportes te gusta practicar?,What sports do you like to play?
¿Cuál es el deporte más difícil para poder sobresalir?,What is the hardest sport to excel in?
¿Quiénes son los tres mejores atletas de todos los tiempos?,Who are the three greatest athletes of all time?
¿Cuánto tiempo pasas viendo deportes durante la semana?,How much time do you spend watching sports during the week?
¿Merecen los atletas los altos salarios que reciben? ¿Por qué o por qué no?,Do athletes deserve the high salaries they receive? Why or why not?
¿Qué define exactamente a un deporte? ¿Es la pesca un deporte? ¿Y los torneos de videojuegos?,What exactly defines a sport? Is fishing a sport? What about video game tournaments?
"¿Juegas en alguna liga de deportes de fantasía? Si es así, ¿qué tan metido estás en los deportes de fantasía?","Do you play in any fantasy sports leagues? If so, how involved are you in fantasy sports?"
¿Por qué crees que los deportes son comunes en casi todas las culturas presentes y pasadas?,Why do you think sports are common in almost all present and past cultures?
¿Juegas a videojuegos deportivos? ¿Cuáles? ¿Es más divertido jugar al videojuego o al deporte real? ¿Por qué?,Do you play sports video games? Which ones? Is it more fun to play video games or real sports? Why?
¿Qué deporte es el más emocionante de ver? ¿Cuál es el más aburrido de ver?,Which sport is the most exciting to watch? Which is the most boring to watch?
¿Qué piensas de la educación en línea?,What do you think about online education?
¿Qué opinas de las pruebas estandarizadas?,What do you think about standardised testing?
¿Son mejores las escuelas más grandes o más pequeñas?,Are bigger or smaller schools better?
¿Es la enseñanza una habilidad que se puede enseñar?,Is teaching a skill that can be taught?
¿Cuál será el futuro de la educación?,What will be the future of education?
¿Qué piensas de la educación en casa?,What do you think about home schooling?
¿Cómo pueden los gobiernos hacer más eficiente la educación?,How can governments make education more efficient?
¿Cómo la educación que recibiste ha cambiado tu vida?,How has the education you received changed your life?
¿Cómo puede la tecnología mejorar la educación? ¿Puede perjudicarla?,How can technology improve education? Can it harm it?
¿Qué o quién te ha enseñado la mayor parte de la información que usas regularmente?,What or who has taught you most of the information you use regularly?
¿Qué hay de bueno y de malo con el sistema educativo de tu país?,What is good and bad about the education system in your country?
¿Cuál es la más importante festividad para tu familia?,What is the most important holiday for your family?
"¿Cuál es tu festividad favorita? (Navidad, año nuevo, semana santa, etc)","What is your favourite holiday? (Christmas, New Year, Easter, etc.)"
¿Qué días festivos se han comercializado en exceso?,Which holidays have been over-commercialised?
"¿Desearías que hubieran más, o menos, días festivos?","Do you wish there were more, or fewer, holidays?"
¿Qué sabes de la historia de algunas fiestas?,What do you know about the history of some holidays?
¿Qué tipo de comida sueles comer en tus días festivos favoritos?,What kind of food do you usually eat on your favourite holidays?
"Si tuvieras que deshacerte de unas fiestas, ¿de qué te desharías? ¿Por qué?","If you had to get rid of a holiday, what would you get rid of? Why?"
¿Tener un día libre por un feriado aumenta o disminuye la productividad en el trabajo?,Does having a day off for a holiday increase or decrease productivity at work?
"Si se comercializaran algunas de las fiestas menos conocidas, ¿cómo sería la publicidad?","If some of the lesser-known holidays were marketed, what would the publicity be like?"
"Si pudieras hacer unas festividades, ¿cómo serían? ¿Qué tradiciones tendría? ¿Qué comería la gente?","If you could have a holiday, what would it be like, what traditions would it have, what would people eat?"
¿Prefiere las actividades de verano o de invierno?,Do you prefer summer or winter activities?
¿Qué te gusta hacer en primavera?,What do you like to do in the spring?
¿Tu familia tomaba vacaciones de temporada? (Todos los veranos se iban de vacaciones),Did your family take seasonal holidays? (Every summer they went on holiday)
"¿Qué prefieres, otoño o primavera?","Which do you prefer, autumn or spring?"
¿En qué estación eres más activo?,In which season are you more active?
¿Qué es lo más refrescante en un caluroso día de verano?,What is the most refreshing thing to do on a hot summer day?
¿Qué es lo mejor que se puede hacer en un frío día de invierno?,What is the best thing to do on a cold winter day?
¿Cuál es el mejor lugar en el que has estado en otoño?,What is the best place you have been in autumn?
¿Qué es lo que más te gusta comer o beber en invierno?,What is your favourite thing to eat or drink in winter?
¿Es mejor vivir donde hay cuatro estaciones o donde una estación ocupa la mayor parte del año?,Is it better to live where there are four seasons or where one season takes up most of the year?
¿Cuál fue tu primera experiencia de aprendizaje de idiomas?,What was your first language learning experience?
¿Qué idiomas ha estudiado y por qué empezó a hacerlo?,What languages have you studied and why did you start them?
¿Cómo influye su personalidad en su forma de aprender idiomas?,How does your personality affect how you learn languages?
¿Prefiere aprender idiomas en clase o individualmente?,Do you prefer learning languages in a class or individually?
¿Cuáles son sus materiales favoritos para aprender idiomas?,What are your favourite language learning materials?
¿Cuánto tiempo dedica a aprender activamente al día o a la semana?,How much time do you spend actively learning per day/week?
¿Cuáles son sus objetivos de aprendizaje de idiomas a corto y largo plazo?,What are your short term and long term language learning goals?
¿Cuál es su idioma favorito?,What is your favourite language?
¿Cuál es el próximo idioma que quiere aprender?,What is the next language you want to learn?
¿Qué consejos puede dar a los nuevos estudiantes de idiomas?,What advice can you give to new language learners?
¿Cuál fue la última canción que escuchaste?,What was the last song you listened to?
¿Cuál es tu banda sonora favorita de una película?,What is your favourite film soundtrack?
¿Te gusta la música clásica o académica?,Do you like classical or academic music?
¿Qué canción siempre te pone de buen humor?,What song always puts you in a good mood?
¿Cuál es la mejor manera de descubrir nueva música?,What is the best way to discover new music?
¿Cómo ha cambiado la tecnología a la industria musical?,How has technology changed the music industry?
¿Hay alguna canción que siempre te haga llorar?,Is there a song that always makes you cry?
¿Qué bandas o tipos de música escuchas cuando haces ejercicio?,What bands or types of music do you listen to when you exercise?
"¿Qué prefieres, música popular o música relativamente desconocida?","What do you prefer, popular music or relatively unknown music?"
¿Te gusta ir a conciertos? ¿Por qué o por qué no? ¿Cuál fue el último concierto al que fuiste?,Do you like going to concerts? Why or why not? What was the last concert you went to?
¿Quién fue la primera banda o músico que te gustó realmente? ¿Todavía te gusta/gustan?,Who was the first band or musician you really liked? Do you still like them?
"Discos, cintas, CDs, MP3s, streaming. ¿Con cuál creciste? ¿Qué hay de bueno y de malo en cada uno?","Records, tapes, CDs, MP3s, streaming - which one did you grow up with? What's good and bad about each?"
¿Qué canción o artista te gusta pero rara vez admites que te gusta?,What song or artist do you like but rarely admit to liking?
¿Qué canciones has memorizado completamente?,What songs have you memorised completely?
¿Cuál es la película más sobrevalorada?,What is the most overrated film?
¿Cuál es tu genero favorito de películas?,What is your favourite genre of film?
¿Qué prefieres? ¿Libros o películas?,Which do you prefer? Books or films?
¿Qué escena de una película siempre te hace sentir un nudo en la garganta?,Which scene in a film always makes you feel a lump in your throat?
¿Te gustan los documentales? ¿Por qué? ¿Por qué no?,Do you like documentaries? Why? Why not?
¿Cuál es la peor película que has visto recientemente?,What is the worst film you have seen recently?
¿Cuál es la película más extraña que has visto?,What is the strangest film you have seen?
¿Te gustan las películas de terror? ¿Por qué o por qué no?,"Do you like horror films, why or why not?"
¿Cuándo fue la última vez que fuiste a un cine?,When was the last time you went to the cinema?
¿Cuál fue la última película que viste? ¿Cómo estuvo?,What was the last film you saw? How was it?
¿Tienen las películas el mismo poder que los libros para cambiar el mundo?,Do films have the same power to change the world as books?
¿Prefieres ver las películas en el cine o en la comodidad de tu casa?,Do you prefer to watch films in the cinema or in the comfort of your own home?
¿Qué título de película describe mejor tu vida?,Which film title best describes your life?
¿La moda ayuda a la sociedad de alguna manera?,Does fashion help society in any way?
¿Qué vieja tendencia está volviendo estos días?,What old trend is making a comeback these days?
¿Cuál tendencia de moda realmente te alegra que se haya acabado?,Which fashion trend are you really glad went away?
¿Cuál es la prenda de ropa más cómoda que tienes?,What is the most comfortable item of clothing you own?
¿Cuál es la prenda de ropa más vergonzosa que tienes?,What is the most embarrassing item of clothing you own?
¿Cómo cambia la ropa la forma en que el sexo opuesto ve a una persona?,How does clothing change the way the opposite sex sees a person?
¿Te importa la moda? ¿Qué estilo de ropa sueles llevar?,Do you care about fashion? What style of clothes do you usually wear?
"Si no te importara en absoluto lo que la gente piensa de ti, ¿qué ropa usarías?","If you didn't care at all about what people think of you, what clothes would you wear?"
¿Cuál es el mejor par de zapatos que has tenido? ¿Por qué eran tan buenos?,"What is the best pair of shoes you have ever owned, and why were they so good?"
"¿Quién crees que tiene mayor impacto en las tendencias de la moda: actores y actrices, músicos, diseñadores de moda o consumidores?","Who do you think has the biggest impact on fashion trends: actors and actresses, musicians, fashion designers or consumers?"
¿Cuál es tu prenda favorita de ropa que tienes/tenías?,What is your favourite item of clothing you have/had?
¿Cuál es tu equipo o dispositivo tecnológico favorito?,What is your favourite piece of technology equipment or device?
¿Qué equipo o dispositivo tecnológico es realmente frustrante de usar?,What technological device or equipment is really frustrating to use?
¿Cuál fue el mejor invento de los últimos 50 años?,What was the best invention of the past 50 years?
¿La tecnología simplifica la vida o la hace más complicada?,Does technology make life simpler or more complicated?
¿Salvará la tecnología a la raza humana o la destruirá?,Will technology save the human race or destroy it?
¿Qué tecnología emergente te entusiasma más?,Which emerging technology are you most excited about?
¿Como qué libro o película de ciencia ficción te gustaría que fuera el futuro?,What science fiction book or film would you like the future to be like?
¿Cuál crees que será el próximo gran avance tecnológico?,What do you think will be the next big technological breakthrough?
¿Qué tecnología de una película de ciencia ficción te gustaría tener?,What technology from a science fiction film would you like to have?
¿Qué problemas resolverá la tecnología en los próximos cinco años? Y ¿Qué problemas creará?,What problems will technology solve in the next five years? And what problems will it create?
"""¿Qué pieza de tecnología se vería como magia o un milagro para la gente en la Europa medieval?""","""What piece of technology would be seen as magic or a miracle to people in medieval Europe?"""
"""¿Se te ocurre alguna tecnología que sólo ha empeorado el mundo? ¿Qué tal una tecnología que sólo ha hecho que el mundo sea mejor?""","""Can you think of any technology that has only made the world worse? How about a technology that has only made the world better?"""
¿Cuáles son las tres mejores aplicaciones en tu teléfono?,What are the three best apps on your phone?
¿Cuál es la aplicación más útil que tienes en tu teléfono?,What is the most useful app you have on your phone?
¿Qué hacen los fabricantes de aplicaciones que realmente te molesta?,What do the makers of apps do that really annoys you?
¿Cuántas aplicaciones tienes en tu teléfono?,How many apps do you have on your phone?
¿Cuál es la aplicación más frustrante que has probado?,What is the most frustrating app you have tried?
¿Cuál es el juego móvil más adictivo que has jugado?,What's the most addictive mobile game you've played?
¿Qué aplicación parecía mágica la primera vez que la usaste?,What app seemed magical the first time you used it?
¿Cuál es la aplicación más extraña de la que has escuchado o probado?,What's the strangest app you've ever heard of or tried?
"¿Cuáles son las mejores y peores cosas de la tienda donde consigues tus aplicaciones (Google Play, App Store, etc)?","What are the best and worst things about the shop you get your apps from (Google Play, App Store, etc)?"
¿Qué aplicación ha ayudado más a la sociedad? ¿Cuál ha dañado más a la sociedad?,Which app has helped society the most? Which one has hurt society the most?
Imagina que aparece misteriosamente una aplicación en tu teléfono que hace algo asombroso. ¿Qué es lo que hace?,Imagine an app mysteriously appears on your phone that does something amazing. What does it do?
¿Qué tan seguido revisas tu teléfono?,How often do you check your phone?
¿Envías más mensajes de chat o haces más llamadas? ¿Por qué?,Do you send more chat messages or make more calls? Why?
¿Cómo serán los teléfonos dentro de diez años?,What will phones be like in ten years?
¿Qué deseas que tu teléfono pudiera hacer?,What do you wish your phone could do?
¿Siempre tienes que tener el más nuevo modelo de teléfono disponible?,Do you always have to have the newest phone model available?
¿Qué es lo más molesto de tu teléfono?,What is the most annoying thing about your phone?
¿Cómo te sientes si accidentalmente dejas tu teléfono en casa?,How do you feel if you accidentally leave your phone at home?
¿Qué tipo de funda tienes para tu teléfono? ¿Por qué la elegiste?,"What kind of case do you have for your phone, and why did you choose it?"
¿Cuál fue tu primer teléfono móvil? ¿Cómo te sentiste cuando lo conseguiste?,What was your first mobile phone? How did you feel when you got it?
¿Has experimentado vibraciones fantasmas? (Sentir que tu teléfono vibra aunque no lo haga),Have you experienced phantom vibrations? (Feeling that your phone vibrates even when it doesn't)
¿Cuál es la mejor serie de comedia del pasado o del presente?,What is the best comedy series of the past or present?
"¿Cuál es el mejor anime, serie o dibujo anime que hay actualmente en la televisión?","What is the best show, cartoon or anime currently on television?"
¿Cuál será el futuro de los programas de televisión?,What will be the future of TV shows?
¿Con qué frecuencia haces un maratón de series?,How often do you binge a series?
¿Qué dibujos animados o anime veías de niño?,What cartoons or anime did you watch as a child?
"¿Cuál es la serie, (anime o dibujo animado) más divertida que has visto?","What is the funniest TV series, (anime or cartoon) you have ever watched?"
"¿Cómo qué serie, anime o dibujo animado quisieras que fuera tu vida y por qué?","What TV show, anime or cartoon would you like your life to be like?"
¿Cómo han cambiado los programas de televisión a lo largo de los años?,How have TV shows changed over the years?
"Si pudieras traer de vuelta un programa de TV que fue cancelado, ¿cuál traerías?","If you could bring back a TV show that was cancelled, which one would you bring back?"
¿Qué piensas de los programas de concursos? ¿Tienes uno favorito?,What do you think of game shows - do you have a favourite?
"¿Cuál es el anime, dibujo animado o serie más infravalorado o sobrevalorado?","What is the most underrated or overrated TV show, cartoon or anime?"
¿Qué piensas de los reality shows? ¿Por qué crees que son tan populares?,"What do you think of reality shows, and why do you think they are so popular?"
"¿Te gustan los reality shows? ¿Por qué sí o por qué no? Si es así, ¿cuáles?","Do you like reality shows, why or why not, and if so, which ones?"
¿Qué canal de TV o de YouTube no existe pero debería existir?,Which TV or YouTube channel doesn't exist but should exist?
¿Cuál es tu anime o dibujo animado favorito de todos los tiempos?,What’s your favorite anime or cartoon of all time?
¿La piratería está matando o ayudando a la industria del entretenimiento?,Is piracy killing or helping the entertainment industry?
"¿Cuáles son tus personajes favorito de anime, dibujos animados o televisión? ","Who're your favourite characters in anime, cartoons or tv? "
"¿Qué anime, dibujo animado o serie debería ver a continuación y por qué?","What anime, cartoon or series should I watch next and why?"
¿A dónde te gustaría viajar próximamente?,Where would you like to travel to next?
¿Cuál es el viaje de avión más largo que has hecho?,What is the longest plane journey you have ever taken?
"¿Cuál es la mejor manera de viajar? (Avión, automóvil, tren, etc.)","What is the best way to travel? (Plane, car, train, etc.)"
¿Cuál es el lugar más relajante en el que has estado?,Where is the most relaxing place you have ever been?
¿Prefieres viajar solo o en grupo?,Do you prefer to travel alone or in a group?
¿Qué piensas de los tours grupales?,What do you think of group tours?
¿Prefieres salirte del camino establecido cuando viajas?,Do you prefer to go off the beaten track when you travel?
¿Cuál fue el lugar más sobrevalorado al que has viajado?,What was the most overrated place you have travelled to?
¿Has viajado a algún país diferente? ¿A cuáles?,Have you travelled to a different country? Which ones?
¿Cuál es el lugar más impresionante en el que has estado?,What is the most impressive place you have been?
¿Qué es lo mejor de viajar? ¿Qué es lo peor?,What is the best thing about travelling? What is the worst?
¿Cuál es el peor hotel en el que te has alojado? ¿Qué tal el mejor hotel?,What is the worst hotel you have ever stayed in? What is the best hotel?
¿Cómo crees que viajar a un montón de países diferentes cambia a una persona?,How do you think travelling to a lot of different countries changes a person?
¿Qué personas interesantes has conocido en tus viajes?,What interesting people have you met on your travels?
¿Qué piensas de las vacaciones en casa y de visitar solo los sitios turísticos cercanos?,How do you feel about holidaying at home and only visiting nearby tourist sites?
¿De dónde sacas tus recomendaciones sobre qué hacer y dónde quedarte cuando viajas?,Where do you get your recommendations on what to do and where to stay when you travel?
¿En dónde y cuándo ocurrió la más asombrosa puesta de sol que hayas visto?,Where and when was the most amazing sunset you have ever seen?
¿Qué es lo más lejos que has estado de casa?,What's the furthest you've ever been from home?
¿Cuál es el lugar más interesante en el que has estado?,What is the most interesting place you have ever been?
¿Cuál es tu juego favorito de todos los tiempos?,What's your favorite game of all time?
¿Cuál es un juego que creías que te iba a gustar pero que en realidad odiabas?,What's a game you thought you'd like but actually hated?
¿Cuál es un juego muy popular que parece gustar a todo el mundo pero que a ti no te gusta?,What's a really popular game everyone seems to love but you don't like?
¿Cuál es un juego que no esperabas que te gustara pero que acabó gustándote?,What's a game you didn't expect to enjoy but ended up liking?
¿A qué juego le has dedicado más horas?,What game have you spent the most number of hours on?
"Si tuvieras que casarte con el último personaje de videojuego con el que has jugado, ¿quién sería?","If you had to marry the last video game character you played, who would it be?"
"Si tuvieras que vivir en el mundo del último juego al que has jugado, ¿qué mundo sería?","If you had to live in the world of the last game you played, what world would it be?"
¿Te has enamorado alguna vez de un personaje de videojuego?,Have you ever had a crush on a video game character?
¿Cuál fue el primer juego que recuerdas haber jugado?,What was the first game you ever remember playing?
¿Alguna vez has fingido estar enfermo para librarte de algo y poder jugar a un juego?,Have you ever pretended to be sick to get out of something so you could play a game?
¿Qué juego has completado por última vez?,What game did you last complete?
¿A qué juego estás jugando ahora?,What game are you playing right now?
¿A qué juego quieres jugar después?,What game do you want to play next?
"En tu opinión, ¿cuál es la mejor consola de juegos?","In your opinion, what is the best games console?"
¿Son los jugadores de PC realmente superiores a los de consola?,Are PC gamers really superior to console players?
¿Cuál es tu opinión sobre Fortnite?,What's your opinion on Fortnite?
¿Has visto alguna vez un stream de Twitch?,Have you ever watched a Twitch stream?
¿Te has retransmitido a ti mismo en Twitch o YouTube?,Have you ever streamed yourself on Twitch or YouTube?
¿Has utilizado alguna vez un walkthrough?,Have you ever used a walkthrough?
¿Cuál es la mejor arma que has usado en un juego?,What's the best weapon you've ever used in a game?
¿Alguna vez has tenido que dejar de jugar a un juego porque daba demasiado miedo?,Have you ever had to stop playing a game because it was too scary?
¿Alguna vez el argumento de un juego te ha hecho llorar?,Has a game's storyline ever made you cry?
"¿Cuál es tu clase de lucha favorita: guerrero, mago o pícaro, y por qué?","What's your favorite fighting class: warrior, mage, or rogue, and why?"
¿Cuál es tu género de juego favorito?,What's your favorite game genre?
¿Prefieres los juegos multijugador o ir en solitario?,Do you prefer multiplayer games or to go solo?
¿Prefieres el cooperativo o el jugador contra jugador?,Do you prefer co-op or player vs player?
¿Cuál es la primera consola que tuviste?,What is the first console you ever owned?
¿Qué o quién te hizo entrar en los videojuegos en primer lugar?,What or who got you into video games in the first place?
¿Cuál es la mayor cantidad de tiempo que has estado sentado jugando sin parar?,What is the longest amount of time you have sat playing games non-stop?
"Si los videojuegos ya no existieran, ¿qué harías?","If video games didn't exist anymore, what would you do?"
¿Cuál es tu canción favorita de un juego?,What is your favorite song from a game?
"¿Alguna vez has querido vivir en un mundo de un juego? Si es así, ¿en cuál y por qué?","Have you ever wanted to live in a world from a game? If so, which one and why?"
¿A qué personaje de videojuego te gustaría parecerte más?,Which video game character do you most wish you were like?
¿Cuál es el juego en el que te has gastado más dinero?,What's a game you've spent the most amount of money on?
"Si pudieras tener un poder de cualquier personaje de videojuego, ¿cuál sería?","If you could have one power of any video game character, who would it be?"
"¿A quién sueles elegir como luchador en Super Smash Brothers / Soul Calibur / Street Fighter, etc.?","Who do you usually choose as your fighter in Super Smash Brothers / Soul Calibur / Street Fighter, etc.?"
¿XBOX o PlayStation? ¡Elige uno!,XBOX or PlayStation? Choose one!
¿Qué esperas del próximo E3?,What are you hoping for at the next E3?
¿Cuál es tu villano favorito de un videojuego y por qué?,Who is your favorite villain from a video game and why?
¿Cuál es tu juego favorito de tu infancia?,What is your favorite game from your childhood?
¿Hay algún juego que se te dé realmente mal?,Are there any games you're really bad at?
¿Has visto alguna vez a alguien enfadarse mucho cuando pierde?,Have you ever seen somebody get really angry when they lose?
¿Cuál es tu serie de juegos favorita de todos los tiempos?,What's your favorite game series of all time?
¿Qué es más importante: la acción o la historia?,What's more important: action or story?
¿Hay algún juego que se considere realmente malo pero que sea tu placer culpable secreto?,Is there a game that is considered to be really bad but is your secret guilty pleasure?
"Si pudieras tener como mejor amigo a cualquier personaje de videojuego, ¿quién sería?","If you could have any video game character as your best friend, who would it be?"
"Si pudieras casarte con cualquier personaje del juego, ¿quién sería?","If you could marry any game character, who would it be?"
"¿Preferirías tener mucho tiempo para jugar pero sólo poder comprar dos juegos al año, o poder comprar muchos juegos pero no tener nunca mucho tiempo para jugarlos?","Would you rather have loads of time to play games but only be able to buy two games a year, or be able to buy loads of games but never have much time to play them?"
"En tu opinión, ¿cuál es el peor juego de todos los tiempos al que has jugado?","In your opinion, what is the worst game of all time that you've played?"
"¿Renunciarías a los videojuegos de por vida y recibirías 500.000 dólares en efectivo, o rechazarías el dinero?","Would you give up video games for life and receive $500,000 in cash, or would you refuse the money?"
