questions_spa,questions_eng
¿Es más útil la inteligencia o la sabiduría?,Is intelligence or wisdom more useful?
¿Cuáles de sus creencias están justificadas y cuáles no?,Which of your beliefs are justified and which ones aren’t?
¿Qué aportas a la sociedad?,What do you contribute back to society?
¿Qué vas a hacer con la única vida que tienes?,What are you going to do with the one life you have?
"¿Es más importante ayudarte a ti mismo, ayudar a tu familia, ayudar a tu sociedad o ayudar al mundo?","Is it more important to help yourself, help your family, help your society, or help the world?"
¿Qué cosas que cambian la vida deberían experimentar todos los seres humanos al menos una vez en su vida?,What life-altering things should every human ideally get to experience at least once in their lives?
¿Cuál es el objetivo más importante que toda persona debería tener?,What is the most important goal every person should have?
¿Es mejor ser un pez grande en un estanque pequeño o un pez pequeño en un estanque grande?,Is it better to be a big fish in a small pond or a small fish in a big pond?
¿Qué eres capaz de conseguir?,What are you capable of achieving?
¿Con qué criterios te juzgas a ti mismo?,By what standards do you judge yourself?
¿Se puede cambiar la naturaleza humana? ¿Debería cambiarse?,Can human nature be changed? Should it be changed?
¿Hasta qué punto eres reemplazable?,How replaceable are you?
¿Por qué no aprovechamos más como especie el hecho de que tenemos un conocimiento casi infinito a nuestra disposición?,Why don’t we as a species take more advantage of the fact that we have almost infinite knowledge available to us?
¿Qué dos preguntas harías para obtener la mayor información sobre quién es realmente una persona?,What two questions would you ask to get the most information about who a person truly is?
"Algunas personas creen que si la vida no tiene un propósito, entonces no hay razón para vivir. Mientras que otros piensan que si la vida no tiene un propósito, eso libera a la persona para encontrar/crear y seguir su propio propósito personal. ¿Cuál es el punto de vista más válido o ambos son igualmente válidos?","Some people believe that if life has no purpose, then there is no reason for living. While others think that if life has no purpose, that frees a person to find/create and follow their own personal purpose. Which is a more valid point of view or are they both equally valid?"
¿El poder absoluto corrompe absolutamente?,Does absolute power corrupt absolutely?
¿Por qué nos juzgamos a nosotros mismos por nuestras intenciones pero juzgamos a los demás por sus acciones?,Why do we judge ourselves by our intentions but judge others by their actions?
¿Qué actividades te hacen sentir que estás viviendo la vida al máximo?,What activities cause you to feel like you are living life to the fullest?
¿Tiene el conocimiento un valor intrínseco o necesita tener una utilidad práctica para tener valor?,Does knowledge have intrinsic value or does it need to have a practical use to have value?
¿Qué cambiarías genéticamente del ser humano para convertirlo en una especie mejor?,What would you genetically change about humans to make them a better species?
¿Qué importancia tiene el juego para vivir una vida sana y plena?,How important is play in living a healthy and fulfilling life?
"¿Dónde crees que es el lugar más valioso para encontrar el sentido de la vida? ¿El trabajo, la familia, la afición, la religión, la filosofía, la ayuda a los demás, todos los pequeños milagros, o algo totalmente distinto?","Where do you think is the most worthwhile place to find meaning in life? Work, family, hobby, religion, philosophy, helping others, all the small miracles, or something else entirely?"
¿Cuál es el mayor desperdicio de potencial humano?,What is the biggest waste of human potential?
¿Una vida que se centra en evitar el dolor y buscar el placer es una vida buena y que merece la pena? ¿Por qué o por qué no?,Is a life that focuses on avoiding pain and seeking out pleasure a good and worthwhile life? Why or why not?
¿Tienen los celos valor para impulsar al ser humano a mejorar o son una emoción puramente negativa?,Does jealously have value in driving humans to improve themselves or is it a purely negative emotion?
¿Qué porcentaje de tu vida te sientes realmente vivo? ¿Cuándo te sientes así? ¿Cómo puedes sentirte así más a menudo?,What percentage of your life do you feel truly alive? When do you feel that way? How can you feel that way more often?
¿Qué crees que tu futuro yo recordará de ti ahora?,What do you think your future self will remember about you now?
"""Conócete a ti mismo"" es un concepto antiguo que se remonta mucho más allá de Sócrates y está en la raíz de gran parte de la filosofía. Teniendo esto en cuenta, ¿cuáles son las cosas más importantes que hay que aprender sobre uno mismo o todo el autoconocimiento es igual?","“Know thyself” is an ancient concept going back much further than Socrates and is at the root of much of philosophy. With that in mind, what are the most important things to learn about one’s self or is all self-knowledge equal?"
¿Qué crees que existía antes de la creación del universo?,What do you think existed before the universe was created?
¿Las matemáticas son algo que los humanos crearon o algo que descubrimos? ¿Mirar la realidad de forma matemática es una representación exacta de cómo funcionan las cosas?,Is math something that humans created or something we discovered? Is looking at reality mathematically an accurate representation of how things work?
¿Es posible que un humano alcance la verdadera profundidad de la realidad y la existencia?,Is it possible for a human to fathom the true depths of reality and existence?
"Si el universo es finito, ¿cómo sería el más allá del borde del universo?","If the universe is finite, what would beyond the edge of the universe be like?"
"¿Cuál es el mejor camino para encontrar la verdad: la ciencia, las matemáticas, el arte, la filosofía u otra cosa?","What is the best path to find truth; science, math, art, philosophy, or something else?"
"A medida que se va descubriendo más y más sobre la física cuántica, somos cada vez menos capaces de comprender la naturaleza de la realidad. ¿Es esto algo temporal y nuestras mentes se adaptarán y comenzarán a comprender esta nueva realidad o es posible que la mente humana alcance pronto sus límites de comprensión? Si es algo temporal, ¿hay un límite a lo que la mente humana puede comprender? Si estamos llegando a nuestros límites, ¿cómo podemos seguir estudiando nuestra realidad?","As more and more is being discovered about quantum physics, we become less and less able to comprehend the nature of reality. Is this something temporary and our minds will adapt and begin to understand this new reality or is it possible that the human mind will soon reach its limits of comprehension? If it’s only temporary, is there is a limit to what the human mind can comprehend? If we are reaching our limits, how do we continue to study our reality?"
¿Hay un orden inherente en la naturaleza o todo es caos y azar?,Is there inherent order in nature or is it all chaos and chance?
¿Qué hay en la vida que sea verdaderamente objetivo y no subjetivo?,What in life is truly objective and not subjective?
"Siempre ha habido algo. Antes de que hubiera algo, sólo había nada. ¿Qué crees que es más probable?","There has always been something. Before there was something, there was only nothing. Which do you think is more likely?"
¿La felicidad es sólo una sustancia química que fluye por el cerebro o algo más?,Is happiness just chemicals flowing through your brain or something more?
¿Por qué los humanos son tan susceptibles al pensamiento mágico?,Why are humans so susceptible to magical thinking?
"Si cada neurona de un ser humano se simulara con exactitud en un ordenador, ¿se obtendría la conciencia humana?","If every neuron in a human was accurately simulated in a computer, would it result in human consciousness?"
¿Es posible que algunos animales sean conscientes de sí mismos y piensen en su capacidad de pensar?,Is it possible that some animals are self-aware and think about their ability to think?
¿Cómo se define la conciencia?,How do you define consciousness?
"¿Es posible demostrar que otras personas, además de uno mismo, tienen conciencia?",Is it possible to prove that other people besides yourself have consciousness?
¿Qué grado de conciencia crees que tienen los animales?,How conscious do you think animals are?
"Suponiendo que la evolución sea correcta, ¿crees que si los humanos se extinguieran evolucionaría otra especie tan inteligente como los humanos? Si la vida existe el tiempo suficiente en un planeta, ¿es inevitable la inteligencia y la conciencia?","Assuming evolution is correct, do you think that if humans went extinct another species as intelligent as humans would evolve? If life exists long enough on a planet, is intelligence and consciousness inevitable?"
¿Sería más aterrador descubrir que los humanos son la especie más avanzada del universo o que estamos lejos de ser la especie más avanzada del universo?,Would it be more frightening to discover that humans are the most advanced species in the universe or that we are far from being the most advanced species in the universe?
¿Cómo definiría usted la genialidad?,How would you define genius?
"Hay cero posibilidades de que TODAS tus creencias, tan firmes y queridas, sean ciertas. Entonces, ¿cuáles de tus creencias tienen más probabilidades de ser erróneas y cuáles más de ser ciertas?","There is zero chance that ALL your firmly and dearly held beliefs are true. So, which of your beliefs are most likely to be wrong and which are most liable to be true?"
¿En qué medida afecta el lenguaje a nuestro pensamiento?,How much does language affect our thinking?
¿Por qué los seres humanos confían tanto en creencias que no se pueden demostrar?,Why are humans so confident in beliefs that can’t be proven?
"Si te borraran todos tus recuerdos, ¿qué tipo de persona serías?","If all your memories were erased, what kind of person would you be?"
¿Por qué los seres humanos tenemos un impulso tan fuerte de distraernos del mundo real?,Why do humans have such a strong urge to distract ourselves from the real world?
¿Cuál es el beneficio de la conciencia desde el punto de vista evolutivo?,What is the benefit of consciousness from an evolutionary stand point?
"¿Es el concepto de ""tú"" continuo o el ""tú"" pasado se desvanece continuamente en el ""tú"" presente y futuro? En otras palabras, ¿qué parte de ""tú"" permanece a lo largo del tiempo teniendo en cuenta que los átomos que componen tu cuerpo se reemplazan constantemente y tus recuerdos siempre cambian?","Is the concept of “you” continuous or does past “you” continually fade into present and future “you”? In other words, what part of “you” sticks around over time considering that the atoms that make up your body are constantly being replaced and your memories are always changing?"
"¿Es posible que los genes de una persona afecten a sus inclinaciones políticas? Si no, ¿por qué no? Si es así, ¿cuáles serían las ramificaciones?","Is it possible that someone’s genes might affect their political leanings? If no, why not? If so, what would be the ramifications?"
¿Puede existir el pensamiento racional sin el lenguaje?,Can rational thought exist without language?
"¿La cría selectiva de un animal, como un perro, basada en la inteligencia, aumentaría su inteligencia con el tiempo? En caso afirmativo, ¿hasta qué punto podrían llegar a ser inteligentes los perros? Si no es así, ¿cómo surge la inteligencia en una especie?","Would selectively breeding an animal such as a dog based on intelligence, increase its intelligence over time? If so, how intelligent could dogs become? If not, how does intelligence emerge in a species?"
¿Existen límites a la creatividad humana?,Are there limits to human creativity?
¿Por qué nos resistimos a hacer cosas que sabemos que son buenas para nuestro bienestar mientras anhelamos cosas que son perjudiciales para nuestro bienestar?,Why do we resist doing things that we know are good for our well-being while craving things that are detrimental to our well-being?
¿Es posible que el ser humano cree algo completamente novedoso y nuevo que no se base en nada que exista previamente? ¿O la creatividad humana se limita a reordenar y construir sobre ideas anteriores?,Is it be possible for humans to create something completely novel and new that is based on nothing that previously existed? Or is human creativity just rearranging and building on previous ideas?
"Si existiera un clon perfecto de usted, ¿también sería usted? ¿Actuaría exactamente igual que usted (como un espejo) o actuaría de forma diferente? Si actuara de forma diferente, ¿seguiría siendo usted? ¿En qué momento dejaría de ser usted?","If there existed a perfect clone of you, would it also be you? Would it act in exactly the same manner as you (like a mirror) or would it act differently? If it acted differently then would it still be you? At what point would it not be you?"
¿Serías capaz de saber si el tiempo se ha alterado de alguna manera?,Would you be able to tell if time had been altered in some way?
"Tu percepción del mundo es sólo lo que tu cerebro construye para ti a partir de las señales enviadas por tus sentidos. Además, hay un ligero retraso, por lo que ni siquiera estás experimentando la simulación en tiempo real. ¿Cómo sería si los humanos pudieran percibir cómo es el mundo en realidad y hacerlo en tiempo real? Además, ¿cuáles son las ramificaciones de que la realidad de cada persona sea un poco diferente y única para ella?","Your perception of the world is just what your brain constructs for you from the signals sent by your senses. Plus, there is a slight delay, so you aren’t even experiencing the simulation in real time. What would it be like if humans could perceive what the world is actually like and do it in real time? Also, what are the ramifications of every single person’s reality being a little different and unique to them?"
"Si el lenguaje influye en cómo percibimos el color, ¿qué otras cosas podrían estar cambiando nuestra percepción?","If language influences how we perceive color, what other things could languages be changing our perception of?"
¿Es el sentido del humor un subproducto de la conciencia o algo totalmente distinto?,Is a sense of humor a byproduct of consciousness or something else entirely?
"¿Están la inteligencia y la felicidad relacionadas de alguna manera? Si uno es muy inteligente, ¿es más probable que sea más o menos feliz?","Are intelligence and happiness tied together in any way? If you are highly intelligent, is it more likely that you’ll be more, or less happy?"
"Se ha demostrado que la memoria humana es increíblemente poco fiable. Teniendo esto en cuenta, ¿cómo se puede saber qué recuerdos son auténticos y cuáles han sido alterados o inventados?","Human memory has been shown to be incredibly unreliable. With that in mind, how do you know which of your memories are genuine and which have been altered or made up?"
"Personas y organismos diferentes perciben la realidad de maneras muy distintas. Teniendo esto en cuenta, ¿qué es real y qué es sólo nuestra percepción de la realidad? ¿O cada organismo vive en su propia realidad personal?","Different people and different organisms perceive reality in vastly different ways. With that in mind, what is real and what is just our perception of reality? Or does every organism live in its own personal reality?"
"¿Cuándo está justificado, si es que lo está, quitar una vida humana?","When, if ever, is taking a human life justified?"
¿Pueden los animales tener moral?,Can animals have morals?
"Sin la religión, ¿las personas serían más, menos, o estarían igualmente corrompidas moralmente?","Without religion would people become more, less, or be equally morally corrupt?"
"Si la humanidad fuera juzgada por una raza avanzada de extraterrestres, ¿cómo defenderías a la humanidad y argumentarías a favor de su continuidad?","If humanity was put on trial by an advanced race of aliens, how would you defend humanity and argue for its continued existence?"
¿Qué derechos tiene todo ser humano? ¿Cambian esos derechos en función de la edad?,What rights does every human have? Do those rights change based on age?
¿Tienen los animales derechos y esos derechos se extienden a todos los animales o los derechos cambian en función de la complejidad del animal?,Do animals have rights and do those rights extend to all animals or do the rights change based on the complexity of the animal?
¿Es la justicia una construcción humana o es independiente de los humanos?,Is justice a human construct or is it independent of humans?
¿Por qué la gente espera que un universo lleno de azar sea justo?,Why do people expect a universe full of randomness to be fair?
"Sin leyes ni reglas que influyan en su comportamiento, ¿cómo cree que se comportaría?","With no laws or rules to influence your behavior, how do you think you would behave?"
¿Cuál es la diferencia entre justicia y venganza?,What’s the difference between justice and revenge?
"Si se descubriera que los rasgos de la personalidad son en parte genéticos y que pueden eliminarse con terapia genética, ¿sería ético editar los rasgos de carácter negativos que perjudican a los demás, como la agresividad extrema, la mentira compulsiva o la crueldad?","If it was discovered that personality traits were partly genetic and could be removed with gene therapy, would it be ethical to edit out negative character traits that harm others like extreme aggression, compulsive lying, or cruelty?"
"Si pudieras apretar un botón y recibir un millón de dólares, pero un desconocido moriría, ¿apretarías el botón? Y si es así, ¿cuántas veces?","If you could press a button and receive a million dollars, but one stranger would die, would you press the button? And if so, how many times?"
¿Cuál sería la forma más ética de regalar cinco millones de dólares?,What would be the most ethical way to give away five million dollars?
¿Está la gente obligada éticamente a mejorar?,Are people ethically obligated to improve themselves?
¿Es la privacidad un derecho?,Is privacy a right?
"¿En qué momento es ético derrocar a un gobierno, teniendo en cuenta toda la violencia que suele conllevar una revolución?","At what point is overthrowing a government ethical, considering all the violence a revolution usually entails?"
"¿Puede la moral ser alguna vez objetiva o es siempre subjetiva? Si puede ser objetiva, ¿en qué casos? Si siempre es subjetiva, ¿cómo decidimos qué concepto de moralidad es el correcto?","Can morality ever be objective or is it always subjective? If it can be objective, in what instances? If it’s always subjective, how do we decide whose concept of morality is correct?"
¿Son más importantes las intenciones o los resultados a la hora de juzgar si las acciones son morales?,Are intentions or outcomes more important when judging whether actions are moral?
¿Debería limitarse el derecho a la libertad de expresión?,Should there be limitations on the right to free speech?
"Si se descubriera que la mayoría de los animales son conscientes de su existencia y de su eventual muerte, ¿cuáles serían las ramificaciones de ese descubrimiento?","If it was discovered that most animals were conscious of their existence and eventual death, what would be the ramifications of that discovery?"
¿Debería ser legal la eutanasia? ¿Por qué o por qué no?,Should euthanasia be legal? Why or why not?
"Si los científicos pudieran predecir con exactitud quién es más propenso a cometer delitos, ¿qué debería hacer la sociedad con esa información?","If scientists could accurately predict who was more likely to commit crimes, what should society do with that information?"
¿Tienen los dueños de los negocios derecho a negar el servicio a los clientes?,Do business owners have the right to refuse service to customers?
"Si los bebés se consideran inocentes, ¿cuándo dejan de serlo las personas?","If babies are considered innocent, when do people cease to be innocent?"
¿Por qué los seres humanos suelen asociar la belleza con la moralidad?,Why do humans often associate beauty with morality?
"Si puedes salvar la vida de otra persona y no lo haces porque al hacerlo infringirías la ley, ¿estás éticamente justificado en tu decisión?","If you can save another’s life and don’t because doing so would break the law, are you ethically justified in your decision?"
¿Están todos los individuos moralmente obligados a salvar la vida de otra persona si pueden hacerlo? ¿Y si esa persona vive en otro país?,Are all individuals morally obligated to save another person’s life if they are able? What if that person lives in another country?
¿Es justo y correcto negar la entrada a un país cuando hacerlo significa probablemente la muerte para el inmigrante y su familia?,Is it just and right to deny entry to a country when doing so probably means death for the immigrant and their family?
¿Debemos terraformar planetas si eso significa que podemos estar destruyendo vida extraterrestre microscópica aún no descubierta?,Should we terraform planets if it means that we may be destroying undiscovered microscopic alien life?
¿El anonimato anima a la gente a portarse mal o revela cómo la gente elegiría actuar todo el tiempo si pudiera?,Does anonymity encourage people to misbehave or does it reveal how people would choose to act all the time if they could?
"¿Cuál es el terreno más fértil para el odio? ¿El miedo, la ignorancia, los celos o algo totalmente distinto? ¿Es posible que algunas personas estén genéticamente predispuestas al odio?","What is the most fertile soil for hatred? Fear, ignorance, jealousy, or something else entirely? Is it possible that some people are genetically predisposed to hatred?"
"Si hacer algo bueno por los demás nos hace sentir bien, ¿puede existir el altruismo puro?","If doing something good for others makes us feel good, can there ever be such a thing as pure altruism?"
¿Cuál es su definición del mal?,What is your definition of evil?
¿Todas las personas tienen el mismo valor independientemente de sus acciones o el valor de una persona se basa en sus acciones?,Do all people have equal value regardless of their actions or is a person’s value based on their actions?
¿Por qué los seres humanos están tan fascinados por los asesinos en masa si sus acciones se consideran universalmente malvadas y viles?,Why are humans so fascinated by mass murderers if their actions are universally considered evil and vile?
"Como personas, sentimos que nuestra obligación moral se debilita con la distancia tanto física como emocional de los individuos necesitados. Por ejemplo, es más probable que ayudemos a alguien que se está muriendo de hambre a nuestros pies que a alguien que se está muriendo de hambre en otro país. ¿Cómo configura nuestro mundo este rasgo humano de moralidad dependiente de la distancia?","As people, we feel our moral obligation weaken with physical as well as emotional distance from individuals in need. For example, you’re more likely to help someone dying of hunger at your feet than someone dying of hunger in another country. How does this human trait of morality dependent on distance shape our world?"
"Si te robo una barra de pan y me la como, ¿cuándo el propio pan deja de ser tuyo y pasa a ser mío?","If I steal a loaf of bread from you and eat it, when does the bread itself cease to be yours and becomes mine?"
¿Cuánto esfuerzo debe hacer un individuo para no ofender a los demás?,How much effort should an individual put into not offending others?
"Si pudieras crear un país desde cero, ¿cómo sería?","If you could start a country from scratch, what would it be like?"
"¿Un gobierno dirigido por algoritmos, inteligencia artificial y estadísticas sería mejor o peor que el gobierno que tenemos ahora?","Would a government run with algorithms, A.I., and statistics be better or worse than the government we have now?"
¿Sería el mundo un lugar mejor o peor si todo el mundo tuviera el mismo aspecto?,Would the world be a better or worse place if everyone looked the same?
"¿Qué es lo que más daño causa en el mundo, pero que es completamente evitable?","What causes the most harm in the world, but is completely avoidable?"
¿Hasta dónde deben llegar los gobiernos para evitar que sus ciudadanos se causen daño a sí mismos?,How far should governments go to prevent its citizens from causing harm to themselves?
¿Tienen los habitantes de los países más ricos la obligación moral de ayudar a los de los países más pobres?,Do people in wealthier countries have a moral obligation to help those in poorer countries?
"¿Cuál debe ser el papel de un gobierno, qué límites y limitaciones debe tener?","What should the role of a government be, what boundaries and limitations should it have?"
¿Es inevitable la pobreza en la sociedad?,Is poverty in society inevitable?
¿Cómo debemos medir la productividad de una sociedad?,How should we measure the productivity of a society?
"¿Cómo sería una utopía, cómo funcionaría y seguiría existiendo?","What would a utopia be like, how would it function and continue to exist?"
"¿Cree que alguna vez habrá un gobierno mundial? Si un gobierno mundial llegara al poder, suponiendo que no fuera especialmente cruel o malvado, ¿sería algo bueno o malo?","Do you think there will ever be a global government? If a world government did come to power, assuming it wasn’t particularly cruel or evil, would it be a good or bad thing?"
¿Cuál es la mayor amenaza para el contrato social en nuestro país?,What is the biggest threat to the social contract in our country?
"¿Es más o menos difícil tener éxito en el mundo moderno que en el pasado (hace 10, 50, 100 o 1.000 años)?","Is it more or less difficult to be successful in the modern world than it was in the past (10, 50, 100, or 1,000 years ago)?"
"¿Podrían existir sociedades sin una forma de transferir valor (es decir, sin dinero o un sistema de trueque)?",Could societies exist without a way to transfer value (i.e. without money or a barter system)?
¿Qué pasaría si se implantara una renta máxima de?,What would happen if a maximum income of was implemented?
¿Cómo será la economía de los países ricos dentro de 50 o 100 años?,What will the economy of wealthy countries look like in 50 to 100 years?
¿Cuáles crees que serán los efectos a largo plazo de que tanta gente esté pegada a sus pantallas?,What do you think the long-term effects of so many people being glued to their screens will be?
"Si todos los seres humanos quieren las mismas cosas básicas, ¿por qué hay tanta violencia y conflictos entre las personas?","If all humans want the same basic things, why is there so much violence and strife between people?"
¿La tendencia humana a crear grupos es un rasgo globalmente positivo o negativo en términos de florecimiento humano general?,Is the human tendency to create groups an overall positive or a negative trait in terms of general human flourishing?
¿Qué pasaría con una sociedad en la que nadie tuviera que trabajar y todo el mundo tuviera suficiente comida/agua/refugio/atención sanitaria de forma gratuita?,"What would happen to a society in which no one had to work, and everyone was provided enough food/water/shelter/healthcare for free?"
¿Es la tendencia cultural del individualismo y el rechazo del colectivismo una tendencia beneficiosa o perjudicial?,Is the cultural trend of individualism and the rejection of collectivism a beneficial or detrimental trend?
"Teniendo en cuenta que la tecnología existe para permitir una verdadera democracia, ¿una verdadera democracia (cada persona puede votar sobre cada legislación) sería ventajosa o perjudicial?","Considering that the technology exists to enable a real democracy, would a true democracy (every single person can vote on every single legislation) be advantageous or detrimental?"
"Si todo el mundo dijera lo que realmente piensa, ¿qué pasaría con la sociedad?","If everyone said what they were actually thinking, what would happen to society?"
¿Qué ventajas e inconvenientes tiene la diversidad en la sociedad?,What are the benefits and drawbacks of diversity in society?
"En nuestro gobierno, ¿hay algún derecho que tengas pero que no debas tener? ¿Y derechos que no tienes pero deberías tener?",Under our government are there any rights that you have but shouldn’t? How about rights you don’t have but should?
¿Cuál es el derecho más importante que permite nuestro gobierno?,What is the most important right our government allows for?
¿Las redes sociales han sido positivas o negativas para nuestra sociedad? ¿Por qué?,Has social media been a net positive or a net negative for our society? Why?
¿Cómo cambiaría la sociedad si los hombres pudieran quedarse embarazados y tanto los hombres como las mujeres tuvieran las mismas posibilidades de quedarse embarazados?,How would society change if men were able to get pregnant and men and women both had an equal chance of getting pregnant?
¿Por qué muchas sociedades han empezado a dar tanto valor a las emociones y a ser emocionales?,Why have many societies begun to place such a high value on emotions and being emotional?
¿Es correcto o incorrecto que todo el mundo parezca estar acostumbrado a que toda la humanidad y la mayor parte de la vida en la Tierra puedan ser aniquiladas por el capricho de un puñado de personas?,Is it right or wrong that everyone seems to be accustomed to the fact that all of humanity and most of the life on Earth could be wiped out at the whim of a handful of people?
"En un gobierno ideal, ¿qué debería aportar un buen ciudadano a su gobierno y qué debería aportar ese gobierno a ese buen ciudadano?","In an ideal government, what should a good citizen provide to their government and what should that government provide that good citizen?"
¿Deben los contribuyentes tener la opción de decir explícitamente en qué no quieren que se gaste el dinero de sus impuestos?,Should tax payers have the option to explicitly say what they don’t want their tax dollars spent on?
¿Puede existir una sociedad sin leyes?,Can a society exist without laws?
¿Podrá la humanidad escapar algún día del tribalismo y de la creación de grupos de entrada y salida? ¿Debería?,Will humanity ever be able to escape tribalism and the creation of in and out groups? Should it?
¿Cuánta privacidad está usted dispuesto a sacrificar por la seguridad?,How much privacy are you willing to sacrifice for safety?
¿Cómo cambiaría el mundo si existiera una medida precisa de la aptitud?,How would the world change if there was an accurate measure of aptitude?
¿Es necesaria la jerarquía para que todas las comunidades humanas tengan éxito?,Is hierarchy necessary for all successful human communities?
¿Es necesario cierto grado de censura?,Is some degree of censorship necessary?
¿Cuáles son los mayores dilemas morales a los que se enfrenta ahora su país?,What are the biggest moral dilemmas your country is facing now?
"¿La revolución agrícola y la explosión de civilizaciones que se derivó de ella fue algo globalmente bueno para los seres humanos o algo negativo? En otras palabras, ¿habría sido mejor o peor que la gente permaneciera en pequeñas tribus?","Was the agricultural revolution and the explosion of civilizations that came from it an overall good thing for humans or a negative? In other words, would it have been better or worse for people to stay in small tribes?"
¿Cuáles serán/son algunos de los subproductos para la sociedad de que todo el mundo tenga la capacidad de hacer fotos o un vídeo en cualquier momento?,What will be/are some of the by-products to society of everyone having the ability to take pictures or a video at any time?
¿El matrimonio como institución necesita ser actualizado o está bien como está?,Does marriage as an institution need to be updated or is it fine how it is?
"Si se le diera la posibilidad de reformar la forma en que se eligen los líderes de su país y la forma en que sirven, ¿qué cambiaría?","If you were given the ability to reform how your country’s leaders were chosen and how they serve, what would you change?"
¿En qué momento un ser humano mejorado tecnológicamente deja de ser humano?,At what point is a technologically enhanced human not a human anymore?
